year,type,country,activity,sex,age,fatal,time,species
2017,Unprovoked,MEX,Diving,M,33,Y,17,Unknown Shark
2017,Unprovoked,USA,Surfing,F,18,N,14,Unknown Shark
2017,Unprovoked,USA,Swimming,F,18,N,17,Unknown Shark
2017,Unprovoked,SA,Surfing,M,14,N,17,Unknown Shark
2017,Unprovoked,USA,Surfing,F,33,N,11,Unknown Shark
2017,Unprovoked,REU,Surfing,M,28,Y,11,Unknown Shark
2017,Unprovoked,NZ,Surfing,F,20,N,14,Unknown Shark
2017,Unprovoked,STH,Diving,F,40,N,16,Unknown Shark
2017,Unprovoked,USA,Swimming,M,18,N,8,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,12,Unknown Shark
2017,Unprovoked,AUS,Surfing,F,17,Y,16,White Shark
2017,Unprovoked,USA,Surfing,M,28,N,9,Tiger Shark
2017,Unprovoked,USA,Surfing,M,17,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,F,18,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,F,35,N,16,Unknown Shark
2017,Unprovoked,USA,Surfing,F,10,N,17,Unknown Shark
2017,Unprovoked,USA,Swimming,F,21,N,17,Unknown Shark
2017,Unprovoked,USA,Swimming,F,51,N,13,Unknown Shark
2017,Unprovoked,AUS,Kayaking,M,39,N,12,Unknown Shark
2017,Unprovoked,USA,Swimming,F,17,N,15,Bull Shark
2017,Unprovoked,USA,Surfing,M,58,N,10,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,30,N,18,Unknown Shark
2017,Boating,USA,Kayaking,M,18,N,14,White Shark
2017,Unprovoked,AUS,Diving,F,18,N,10,Bull Shark
2017,Unprovoked,AUS,Surfing,M,18,N,10,Unknown Shark
2017,Unprovoked,REU,Surfing,M,26,Y,9,Unknown Shark
2017,Unprovoked,AUS,Fishing,M,26,N,10,Unknown Shark
2017,Unprovoked,USA,Swimming,M,22,N,13,Unknown Shark
2017,Provoked,BRZ,Messing with Sharks,F,18,N,12,Lemon Shark
2017,Unprovoked,BRZ,Swimming,M,21,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,M,15,N,14,Unknown Shark
2017,Unprovoked,AUS,Diving,M,55,N,12,Bull Shark
2017,Unprovoked,AUS,Swimming,M,57,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2017,Unprovoked,INDO,Surfing,M,48,N,7,Bull Shark
2017,Unprovoked,USA,Wading,M,47,N,12,Unknown Shark
2017,Unprovoked,AUS,Wading,M,20,N,18,Unknown Shark
2016,Unprovoked,USA,Surfing,M,16,N,17,Unknown Shark
2016,Unprovoked,AUS,Diving,F,18,N,10,Unknown Shark
2016,Unprovoked,SA,Surfing,M,55,N,7,White Shark
2016,Unprovoked,AUS,Diving,M,61,N,9,Unknown Shark
2016,Unprovoked,USA,Surfing,M,19,N,12,Unknown Shark
2016,Provoked,AUS,Fishing,M,20,N,2,Wobbegong Shark
2016,Unprovoked,AUS,Surfing,M,65,N,9,White Shark
2016,Provoked,AUS,Fishing,M,73,N,11,Broadnose Shark
2016,Unprovoked,USA,Swimming,F,58,N,10,Tiger Shark
2016,Unprovoked,USA,Surfing,M,41,N,12,Unknown Shark
2016,Unprovoked,USA,Surfing,M,42,N,12,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,36,N,7,Unknown Shark
2016,Unprovoked,USA,Surfing,M,36,N,17,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,18,N,18,Unknown Shark
2016,Unprovoked,USA,Diving,F,66,N,9,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,25,N,10,Unknown Shark
2016,Unprovoked,USA,Surfing,M,29,N,16,Unknown Shark
2016,Unprovoked,USA,Surfing,M,21,N,11,Unknown Shark
2016,Unprovoked,USA,Surfing,M,32,N,17,Unknown Shark
2016,Unprovoked,USA,Surfing,M,16,N,13,Unknown Shark
2016,Unprovoked,USA,Surfing,M,36,N,11,Unknown Shark
2016,Unprovoked,USA,Surfing,M,43,N,10,Unknown Shark
2016,Unprovoked,USA,Surfing,M,43,N,12,Unknown Shark
2016,Unprovoked,USA,Wading,M,60,N,15,Unknown Shark
2016,Unprovoked,USA,Swimming,F,51,N,14,Tiger Shark
2016,Unprovoked,NC,Surfing,M,50,Y,15,Unknown Shark
2016,Unprovoked,USA,Surfing,F,12,N,12,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,18,N,12,Unknown Shark
2016,Unprovoked,USA,Surfing,M,25,N,15,Bull Shark
2016,Unprovoked,USA,Surfing,M,37,N,14,Unknown Shark
2016,Unprovoked,REU,Surfing,M,20,N,17,Bull Shark
2016,Unprovoked,USA,Wading,M,49,N,16,Unknown Shark
2016,Unprovoked,USA,Surfing,M,21,N,16,Tiger Shark
2016,Unprovoked,ESP,Swimming,M,40,N,11,Blue Shark
2016,Unprovoked,AUS,Surfing,M,18,N,12,Unknown Shark
2016,Unprovoked,JP,Surfing,M,29,N,19,Unknown Shark
2016,Provoked,AUS,Fishing,M,31,N,12,Reef Shark
2016,Unprovoked,USA,Surfing,F,11,N,11,Unknown Shark
2016,Unprovoked,USA,Surfing,M,61,N,17,White Shark
2016,Provoked,USA,Fishing,M,59,N,10,Dogfish Shark
2016,Provoked,AUS,Fishing,M,34,N,22,Nurse Shark
2016,Unprovoked,USA,Surfing,M,35,N,16,Unknown Shark
2016,Unprovoked,USA,Surfing,M,11,N,14,Unknown Shark
2016,Unprovoked,COL,Diving,M,59,N,11,Reef Shark
2016,Unprovoked,USA,Swimming,M,42,N,15,Unknown Shark
2016,Unprovoked,USA,Wading,M,18,N,14,Unknown Shark
2016,Unprovoked,USA,Surfing,M,18,N,6,Unknown Shark
2016,Unprovoked,USA,Swimming,F,6,N,17,Unknown Shark
2016,Unprovoked,USA,Standing,M,19,N,15,Unknown Shark
2016,Unprovoked,USA,Surfing,M,27,N,11,Unknown Shark
2016,Unprovoked,USA,Swimming,M,64,N,8,Unknown Shark
2016,Unprovoked,AUS,Diving,F,60,Y,11,Unknown Shark
2016,Unprovoked,EGY,Swimming,M,23,N,10,Mako Shark
2016,Unprovoked,NC,Surfing,M,18,N,12,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,29,Y,16,White Shark
2016,Unprovoked,USA,Swimming,F,52,N,16,Unknown Shark
2016,Unprovoked,USA,Swimming,M,13,N,15,Unknown Shark
2016,Unprovoked,USA,Swimming,F,57,N,12,Unknown Shark
2016,Unprovoked,USA,Swimming,F,22,N,18,Bull Shark
2016,Unprovoked,USA,Swimming,F,11,N,17,Unknown Shark
2016,Unprovoked,USA,Swimming,M,48,N,10,Blacktip Shark
2016,Provoked,USA,Messing with Sharks,F,23,N,13,Nurse Shark
2016,Unprovoked,USA,Swimming,M,59,N,15,Unknown Shark
2016,Provoked,NZ,Fishing,M,39,N,12,Mako Shark
2016,Unprovoked,INDO,Surfing,M,24,N,7,Bull Shark
